school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,G1_mat,G2_mat,G3_mat,G1_por,G2_por,G3_por,student_id,schoolsup,freetime,guardian,higher,Dalc,famsup,traveltime,studytime,Walc,health,activities,absences,failures,famrel,paid,romantic,goout
GP,M,16,U,GT3,T,3,2,other,other,home,no,yes,12.0,14.0,15.0,12.0,12.0,12.0,GP_M_16_U_GT3_T_3_2_other_other_home_no_yes,no,4.0,mother,yes,1.0,yes,1.0,1.0,1.0,5.0,no,0.0,0.0,5.0,yes,no,3.0
GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,8.0,7.0,6.0,11.0,11.0,11.0,GP_F_15_U_GT3_T_2_3_other_other_other_yes_no,no,5.0,father,yes,1.0,yes,2.0,1.0,1.0,5.0,yes,0.0,0.0,3.0,no,no,1.0
GP,M,15,U,LE3,T,4,3,teacher,services,home,yes,yes,15.0,16.0,18.0,14.0,14.0,14.0,GP_M_15_U_LE3_T_4_3_teacher_services_home_yes_yes,no,4.0,mother,yes,1.0,yes,1.0,3.0,1.0,4.0,yes,2.0,0.0,5.0,no,no,3.0
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,yes,yes,15.0,16.0,15.0,13.0,13.0,13.0,GP_M_16_R_GT3_A_4_4_other_teacher_reputation_yes_yes,no,4.0,mother,yes,1.0,yes,2.0,3.0,1.0,5.0,yes,7.0,0.0,2.0,no,yes,3.0
GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,12.0,12.0,11.0,11.0,12.0,12.0,GP_F_15_R_GT3_T_3_4_services_health_course_yes_yes,yes,3.0,mother,yes,1.0,yes,1.0,3.0,1.0,5.0,yes,2.0,0.0,4.0,yes,no,2.0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,14.0,13.0,13.0,14.0,13.0,12.0,GP_F_15_R_GT3_T_2_2_at_home_other_reputation_yes_no,yes,3.0,mother,yes,1.0,yes,1.0,1.0,1.0,2.0,yes,8.0,0.0,4.0,yes,no,1.0
GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,7.0,10.0,11.0,11.0,11.0,10.0,GP_F_16_U_LE3_T_2_2_other_other_home_no_yes,no,3.0,mother,yes,1.0,yes,2.0,2.0,2.0,3.0,yes,25.0,1.0,3.0,no,yes,3.0
GP,M,15,U,LE3,T,4,4,teacher,other,home,no,yes,12.0,12.0,12.0,10.0,11.0,11.0,GP_M_15_U_LE3_T_4_4_teacher_other_home_no_yes,no,4.0,other,yes,2.0,yes,1.0,1.0,4.0,5.0,no,8.0,0.0,5.0,no,yes,3.0
GP,M,15,U,GT3,T,4,4,services,teacher,course,yes,yes,19.0,18.0,18.0,14.0,15.0,15.0,GP_M_15_U_GT3_T_4_4_services_teacher_course_yes_yes,no,3.0,father,yes,1.0,yes,1.0,2.0,1.0,5.0,yes,2.0,0.0,4.0,no,no,3.0
GP,M,15,U,GT3,T,2,2,services,services,course,yes,yes,8.0,8.0,11.0,9.0,10.0,10.0,GP_M_15_U_GT3_T_2_2_services_services_course_yes_yes,yes,4.0,father,yes,1.0,yes,1.0,1.0,1.0,1.0,no,0.0,0.0,5.0,no,no,1.0
GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,10.0,10.0,9.0,10.0,11.0,11.0,GP_F_16_U_LE3_T_2_2_other_at_home_course_yes_yes,yes,3.0,father,yes,2.0,no,2.0,2.0,2.0,5.0,yes,14.0,1.0,4.0,no,no,3.0
GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,8.0,8.0,6.0,10.0,11.0,11.0,GP_F_15_U_LE3_A_4_3_other_other_course_yes_yes,yes,2.0,mother,yes,1.0,yes,1.0,2.0,1.0,5.0,yes,8.0,0.0,5.0,yes,yes,2.0
GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,11.0,12.0,11.0,13.0,12.0,13.0,GP_F_16_U_LE3_A_3_3_other_services_home_yes_yes,no,3.0,mother,yes,1.0,yes,1.0,2.0,4.0,3.0,no,12.0,0.0,2.0,no,no,5.0
GP,M,16,U,GT3,T,4,3,health,services,reputation,yes,yes,19.0,19.0,20.0,17.0,17.0,17.0,GP_M_16_U_GT3_T_4_3_health_services_reputation_yes_yes,no,2.0,mother,yes,1.0,no,1.0,4.0,1.0,2.0,yes,4.0,0.0,4.0,no,no,2.0
GP,M,15,U,GT3,T,4,2,teacher,other,home,yes,no,15.0,15.0,14.0,11.0,12.0,13.0,GP_M_15_U_GT3_T_4_2_teacher_other_home_yes_no,no,3.0,mother,yes,2.0,yes,1.0,2.0,2.0,5.0,no,2.0,0.0,4.0,yes,no,3.0
GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,7.0,7.0,7.0,13.0,12.0,12.0,GP_F_15_U_GT3_T_4_4_services_teacher_other_no_yes,yes,4.0,father,yes,1.0,yes,1.0,2.0,1.0,3.0,yes,2.0,1.0,4.0,no,no,4.0
GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,12.0,13.0,13.0,14.0,13.0,13.0,GP_F_16_U_LE3_T_2_2_services_services_course_yes_yes,no,3.0,mother,yes,2.0,yes,3.0,2.0,3.0,4.0,no,2.0,0.0,4.0,yes,no,3.0
GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,11.0,13.0,13.0,16.0,14.0,16.0,GP_F_15_U_LE3_T_4_2_health_other_other_yes_yes,no,3.0,mother,yes,1.0,yes,1.0,2.0,1.0,5.0,no,2.0,0.0,4.0,yes,no,3.0
GP,M,15,U,LE3,A,4,2,health,health,other,yes,no,11.0,11.0,10.0,10.0,9.0,9.0,GP_M_15_U_LE3_A_4_2_health_health_other_yes_no,no,5.0,father,yes,3.0,no,2.0,1.0,4.0,5.0,no,6.0,1.0,5.0,no,no,5.0
GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,8.0,10.0,11.0,13.0,12.0,12.0,GP_F_15_U_GT3_T_4_4_services_services_course_yes_yes,yes,3.0,mother,yes,2.0,yes,1.0,1.0,3.0,5.0,no,0.0,0.0,3.0,yes,no,4.0
GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,10.0,13.0,13.0,13.0,12.0,13.0,GP_F_15_U_LE3_A_3_3_other_other_other_yes_yes,no,3.0,mother,yes,4.0,no,1.0,1.0,4.0,1.0,no,6.0,0.0,5.0,yes,no,4.0
GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,8.0,9.0,10.0,12.0,13.0,12.0,GP_F_16_U_GT3_A_2_1_other_other_other_yes_yes,no,3.0,mother,yes,1.0,no,1.0,2.0,1.0,2.0,yes,8.0,0.0,5.0,yes,yes,4.0
GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,14.0,15.0,15.0,15.0,14.0,15.0,GP_F_15_U_GT3_A_4_3_services_services_reputation_yes_yes,no,3.0,mother,yes,1.0,yes,1.0,2.0,1.0,1.0,yes,0.0,0.0,4.0,yes,no,2.0
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,yes,no,14.0,15.0,15.0,15.0,15.0,16.0,GP_M_15_U_GT3_T_4_4_teacher_health_reputation_yes_no,no,2.0,mother,yes,1.0,yes,1.0,2.0,1.0,5.0,yes,4.0,0.0,3.0,no,no,2.0
GP,M,15,U,LE3,T,1,2,other,at_home,home,yes,yes,9.0,10.0,9.0,14.0,13.0,14.0,GP_M_15_U_LE3_T_1_2_other_at_home_home_yes_yes,yes,3.0,father,yes,1.0,yes,1.0,2.0,1.0,5.0,yes,2.0,0.0,4.0,no,no,2.0
GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,15.0,16.0,16.0,16.0,15.0,16.0,GP_F_16_U_GT3_T_4_2_services_other_course_yes_yes,no,2.0,mother,yes,1.0,yes,1.0,2.0,1.0,5.0,no,2.0,0.0,4.0,no,no,3.0
GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,10.0,11.0,11.0,17.0,16.0,16.0,GP_F_16_R_GT3_T_4_4_health_teacher_other_yes_no,no,4.0,mother,yes,2.0,yes,1.0,2.0,3.0,4.0,yes,6.0,0.0,2.0,no,no,4.0
GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,10.0,8.0,11.0,10.0,10.0,16.0,GP_F_16_U_GT3_T_1_1_services_services_course_no_yes,yes,5.0,father,yes,5.0,yes,4.0,1.0,5.0,5.0,yes,6.0,0.0,5.0,no,yes,5.0
GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,8.0,10.0,9.0,13.0,13.0,10.0,GP_F_16_U_LE3_T_1_2_other_services_reputation_yes_yes,yes,4.0,father,yes,1.0,no,1.0,2.0,1.0,1.0,yes,4.0,0.0,4.0,no,no,3.0
GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,10.0,9.0,9.0,14.0,13.0,13.0,GP_F_16_U_GT3_T_4_3_teacher_health_home_yes_yes,yes,4.0,mother,yes,2.0,yes,1.0,3.0,4.0,4.0,yes,2.0,0.0,3.0,yes,no,4.0
GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,10.0,10.0,10.0,13.0,12.0,12.0,GP_F_15_U_LE3_T_4_3_services_services_reputation_yes_yes,yes,4.0,father,yes,2.0,no,1.0,2.0,4.0,2.0,yes,0.0,0.0,4.0,no,yes,4.0
GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,16.0,15.0,15.0,16.0,15.0,16.0,GP_F_16_U_LE3_T_4_3_teacher_services_course_yes_yes,no,4.0,mother,yes,1.0,yes,3.0,2.0,2.0,1.0,yes,2.0,0.0,5.0,no,no,3.0
GP,M,15,U,GT3,A,4,4,other,services,reputation,no,yes,13.0,13.0,12.0,11.0,12.0,12.0,GP_M_15_U_GT3_A_4_4_other_services_reputation_no_yes,no,3.0,mother,yes,5.0,yes,1.0,4.0,5.0,3.0,yes,4.0,0.0,1.0,no,yes,3.0
GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,7.0,7.0,6.0,10.0,9.0,10.0,GP_F_16_U_GT3_T_3_1_services_other_course_yes_yes,yes,3.0,mother,yes,1.0,yes,1.0,4.0,2.0,5.0,no,4.0,0.0,4.0,yes,no,3.0
GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,8.0,9.0,8.0,11.0,10.0,11.0,GP_F_15_R_LE3_T_2_2_health_services_reputation_yes_yes,yes,1.0,mother,yes,1.0,yes,2.0,2.0,3.0,4.0,no,2.0,0.0,4.0,yes,no,3.0
GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,16.0,16.0,16.0,15.0,15.0,15.0,GP_F_15_R_LE3_T_3_1_other_other_reputation_no_yes,no,4.0,father,yes,2.0,yes,2.0,4.0,3.0,3.0,no,12.0,0.0,4.0,no,no,2.0
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,yes,13.0,15.0,15.0,13.0,11.0,11.0,GP_M_16_U_GT3_T_3_1_other_other_reputation_yes_yes,no,3.0,father,yes,1.0,yes,2.0,4.0,1.0,5.0,no,0.0,0.0,4.0,yes,no,2.0
GP,M,15,U,GT3,T,4,2,other,other,course,yes,yes,10.0,10.0,10.0,11.0,9.0,10.0,GP_M_15_U_GT3_T_4_2_other_other_course_yes_yes,no,3.0,mother,yes,1.0,no,1.0,4.0,1.0,3.0,no,0.0,0.0,3.0,no,no,3.0
GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,8.0,6.0,5.0,13.0,11.0,11.0,GP_F_15_R_GT3_T_1_1_other_other_reputation_no_yes,yes,3.0,mother,yes,2.0,yes,1.0,2.0,4.0,5.0,no,2.0,2.0,3.0,no,yes,4.0
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,no,12.0,12.0,14.0,13.0,13.0,14.0,GP_M_16_U_GT3_T_3_1_other_other_reputation_yes_no,no,3.0,mother,yes,2.0,no,1.0,1.0,2.0,5.0,yes,2.0,0.0,5.0,no,no,2.0
GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,11.0,12.0,11.0,11.0,11.0,11.0,GP_F_16_U_GT3_T_3_3_other_services_home_yes_yes,yes,3.0,mother,yes,2.0,yes,1.0,2.0,4.0,5.0,yes,54.0,0.0,4.0,yes,no,3.0
GP,M,15,U,GT3,T,4,3,teacher,other,home,yes,yes,9.0,9.0,10.0,11.0,11.0,11.0,GP_M_15_U_GT3_T_4_3_teacher_other_home_yes_yes,no,3.0,mother,yes,2.0,yes,1.0,2.0,3.0,5.0,yes,6.0,0.0,4.0,yes,no,3.0
GP,M,15,U,GT3,T,4,0,teacher,other,course,yes,yes,11.0,11.0,10.0,12.0,11.0,11.0,GP_M_15_U_GT3_T_4_0_teacher_other_course_yes_yes,no,4.0,mother,yes,1.0,no,2.0,4.0,1.0,1.0,yes,8.0,0.0,3.0,no,no,3.0
GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,11.0,11.0,11.0,13.0,13.0,13.0,GP_F_16_U_GT3_T_2_2_other_other_reputation_yes_yes,no,2.0,mother,yes,1.0,no,1.0,4.0,3.0,3.0,no,0.0,0.0,5.0,yes,yes,3.0
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,8.0,8.0,10.0,9.0,9.0,10.0,GP_M_17_U_GT3_T_2_1_other_other_home_yes_yes,yes,5.0,mother,no,1.0,yes,2.0,1.0,1.0,3.0,yes,2.0,3.0,4.0,no,no,1.0
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,8.0,8.0,10.0,9.0,7.0,6.0,GP_M_17_U_GT3_T_2_1_other_other_home_yes_yes,yes,5.0,mother,no,1.0,yes,2.0,1.0,1.0,3.0,yes,2.0,3.0,4.0,no,no,1.0
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,5.0,0.0,0.0,9.0,9.0,10.0,GP_M_17_U_GT3_T_2_1_other_other_home_yes_yes,no,4.0,mother,yes,1.0,yes,1.0,1.0,2.0,5.0,no,0.0,3.0,5.0,no,no,5.0
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,5.0,0.0,0.0,9.0,7.0,6.0,GP_M_17_U_GT3_T_2_1_other_other_home_yes_yes,no,4.0,mother,yes,1.0,yes,1.0,1.0,2.0,5.0,no,0.0,3.0,5.0,no,no,5.0
GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,5.0,5.0,5.0,12.0,11.0,11.0,GP_F_16_U_GT3_T_3_4_at_home_other_course_yes_yes,no,4.0,mother,yes,1.0,yes,1.0,2.0,2.0,3.0,no,12.0,0.0,2.0,no,no,3.0
GP,M,15,U,GT3,T,2,3,other,services,course,no,yes,10.0,12.0,12.0,11.0,11.0,12.0,GP_M_15_U_GT3_T_2_3_other_services_course_no_yes,yes,2.0,father,yes,1.0,yes,1.0,1.0,3.0,3.0,yes,2.0,0.0,3.0,yes,yes,2.0
GP,M,15,U,GT3,T,2,3,other,other,home,no,yes,11.0,10.0,11.0,10.0,9.0,9.0,GP_M_15_U_GT3_T_2_3_other_other_home_no_yes,yes,3.0,mother,yes,1.0,no,1.0,3.0,2.0,5.0,no,4.0,0.0,5.0,yes,no,2.0
GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,7.0,6.0,6.0,12.0,11.0,11.0,GP_F_15_U_LE3_T_3_2_services_other_reputation_yes_yes,no,4.0,mother,yes,1.0,yes,1.0,2.0,1.0,5.0,no,10.0,0.0,4.0,yes,no,4.0
GP,M,15,U,LE3,T,2,2,services,services,home,yes,yes,15.0,15.0,15.0,13.0,12.0,13.0,GP_M_15_U_LE3_T_2_2_services_services_home_yes_yes,no,3.0,mother,yes,1.0,no,2.0,2.0,3.0,4.0,yes,4.0,0.0,5.0,yes,no,3.0
GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,9.0,10.0,10.0,13.0,12.0,12.0,GP_F_15_U_GT3_T_1_1_other_other_home_no_yes,no,3.0,father,yes,2.0,yes,1.0,2.0,3.0,4.0,yes,2.0,0.0,4.0,no,no,2.0
GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,7.0,9.0,8.0,12.0,11.0,12.0,GP_F_15_U_GT3_T_4_4_services_services_reputation_yes_yes,no,4.0,father,yes,2.0,no,2.0,2.0,3.0,5.0,no,6.0,2.0,4.0,yes,yes,4.0
GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,8.0,7.0,6.0,13.0,11.0,11.0,GP_F_16_U_LE3_T_2_2_at_home_other_course_yes_no,no,3.0,mother,yes,1.0,yes,1.0,2.0,2.0,2.0,no,4.0,0.0,4.0,no,no,4.0
GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,13.0,14.0,14.0,15.0,15.0,15.0,GP_F_15_U_GT3_T_4_2_other_other_reputation_yes_yes,no,3.0,mother,yes,1.0,yes,1.0,3.0,3.0,1.0,yes,4.0,0.0,5.0,no,no,3.0
GP,M,16,U,GT3,T,2,2,services,other,reputation,no,yes,11.0,10.0,10.0,12.0,10.0,11.0,GP_M_16_U_GT3_T_2_2_services_other_reputation_no_yes,no,4.0,father,yes,1.0,no,2.0,2.0,1.0,3.0,yes,12.0,1.0,4.0,yes,no,2.0
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,yes,no,8.0,6.0,7.0,9.0,9.0,10.0,GP_M_16_U_LE3_A_4_4_teacher_health_reputation_yes_no,no,1.0,mother,yes,3.0,yes,1.0,2.0,5.0,5.0,no,18.0,0.0,4.0,no,no,3.0
